id,name,duration,artist_id,artist_name,album_id,album_name,releasedate,lang,vocalinstrumental,gender,acousticelectric,speed,genres,instruments,vartags,rate_downloads_total,rate_listened_total,playlisted,favorited,likes,dislikes,avgnote
1000957,Key to Success - Discover the Possibility,170,375935,Akashic Records,117782,Corporate Presentation - Key To Success,2013-01-20,,instrumental,neutral,electric,medium,"corporate, filmscore, poprock","guitar, strings","motivational, happy, film",136505,598523,1999,843,27,1,8.2857
1001519,In Your Face,201,1333,Brad Sucks,117853,Guess Who's a Mess,2013-01-22,,vocal,male,,medium,,,,91080,518129,270,151,20,1,8.6667
1002052,Feel Good Acoustic Ukulele,213,375935,Akashic Records,117912,Optimistic Acoustic Ukulele,2013-01-23,,instrumental,neutral,electric,medium,"pop, folk, filmscore","strings, ukulele","happy, advertising, peaceful",123720,406731,1490,744,78,1,8.9231
1007842,Heaven by Bruno Susio (feat. Marie Louise Frifelt),263,365833,Jazz Friends,118676,Jazz Friends 2013 - Guitars in Jazz,2013-02-14,,vocal,female,,medium,jazz,"drums, electricguitar","vocal, upbeat, voice, loungejazz",15935,186017,81,29,6,0,8.0
1007988,Do or Die,240,367351,Fall Walk Run,118643,Piece By Piece,2013-02-12,,vocal,male,,medium,rock,,"vocal, voice",195521,732900,626,338,73,4,8.3333
1007991,Runaway,186,367351,Fall Walk Run,118643,Piece By Piece,2013-02-12,,vocal,,,medium,,,,25240,243867,193,103,17,1,5.75
1009673,Endless Hours,168,7063,Fresh Body Shop,118858,Wizard,2013-02-19,en,vocal,male,electric,high,"rock, pop",,"acoustic, vocal, voice, neutral",10463,688604,162,74,5,1,8.0
1011643,Daily Routine,270,421874,Kingston Blues,119118,Sailin',2013-02-27,,vocal,male,,medium,"funk, jazzfunk","electricguitar, drums","vocal, groovy, happy, voice, jazzy",8945,179388,38,13,0,0,8.0
1013118,Wage War,210,344760,Circa Vitae,119336,Lovers EP,2013-03-06,,vocal,male,electric,medium,"rock, indie, pop",,"acoustic, vocal, voice",52097,609826,302,153,6,1,8.6667
101464,Hello Black & White Bird,206,6079,The Old Dada Weatherman ,11348,The Dada Weatherman (In Airplane Trouble),2007-11-02,,vocal,male,acoustic,medium,"singersongwriter, pop","acousticguitar, strings","sentimental, acoustic, vocal, voice",26358,189390,87,48,0,0,9.0
