feature,importance
pop_relative_user_avg,78.3190419169764
user_avg_item_pop,9.440160734556692
item_pop_rank,6.505129890985438
ann_rank,3.8432445841092613
pop_relative_user_max,0.5990479025750286
item_emb_norm,0.49375141614767004
item_emb_std,0.37053289350947216
item_total_weight,0.30993546579842046
item_emb_min,0.11915519534161893
user_max_item_pop,0.0
user_min_item_pop,0.0
user_std_item_pop,0.0
hnsw_cosine_sim,0.0
user_emb_norm,0.0
user_activity_quantile,0.0
user_emb_std,0.0
user_item_dot_raw,0.0
user_emb_mean,0.0
user_n_items,0.0
user_n_items_log,0.0
user_avg_weight,0.0
user_total_weight,0.0
hnsw_cosine_dist,0.0
item_emb_max,0.0
item_emb_mean,0.0
item_iuf,0.0
item_pop_quantile,0.0
item_pop_log,0.0
item_avg_weight,0.0
item_n_users,0.0
user_item_norm_ratio,0.0
